owner,label,type,liquidity,positions,in_range_positions,token_ids,cur_usdc,cur_lmts
0x5f0aea872b7d6dbcc181338f80048b130e443e3b,our_pool_wallet,ours,1926585737036164322,2,1,"4794403,4794448",112613.305817,1569942.960882
0x7aa70aa10cb9bf44304676acedec177a42a3aaa2,external,external,7452870745058633,1,1,4800802,22.705221,785.181547
0x8d179345bd84ddb6f64a3a9f853bfe8af44335cc,external,external,11790228836363,1,1,4806698,0.051604,1.048453
